,index,Title,Rank,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Markets,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Paramount Pictures,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.
31,65,Joker,32,1074419384,335451311.0,31.2,738968073,68.8,2019,Warner Bros.,96202337.0,55000000.0,10.0,R,122.0,44.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,67,Star Wars: Episode IX  The Rise of Skywalker,33,1074149279,515202542.0,48.0,558946737,52.0,2019,Walt Disney Studios Motion Pictures,177383864.0,275000000.0,12.0,PG13,141.0,54.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33,69,Toy Story 4,34,1073394593,434038008.0,40.4,639356585,59.6,2019,Walt Disney Studios Motion Pictures,120908065.0,200000000.0,6.0,G,100.0,54.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,71,Toy Story 3,35,1066970811,415004880.0,38.9,651965931,61.1,2010,Walt Disney Studios Motion Pictures,110307189.0,200000000.0,6.0,,103.0,60.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,73,Pirates of the Caribbean: Dead Man's Chest,36,1066179747,423315812.0,39.7,642863935,60.3,2006,Walt Disney Studios Motion Pictures,135634554.0,225000000.0,7.0,PG13,151.0,44.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,79,Rogue One: A Star Wars Story,38,1056057720,532177324.0,50.4,523880396,49.6,2016,Walt Disney Studios Motion Pictures,155081681.0,200000000.0,12.0,PG13,133.0,53.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
37,81,Aladdin,39,1050693953,355559216.0,33.8,695134737,66.2,2019,Walt Disney Studios Motion Pictures,91500929.0,183000000.0,5.0,PG,128.0,53.0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
38,84,Pirates of the Caribbean: On Stranger Tides,40,1045713802,241071802.0,23.0,804642000,77.0,2011,Walt Disney Studios Motion Pictures,90151958.0,250000000.0,5.0,PG13,137.0,53.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,86,Despicable Me 3,41,1034800131,264624300.0,25.6,770175831,74.4,2017,Universal Pictures,72434025.0,80000000.0,6.0,PG,89.0,67.0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,88,Jurassic Park,42,1033928303,404214720.0,39.1,629713583,60.9,1993,Universal Pictures,47026828.0,63000000.0,6.0,PG13,127.0,50.45238095238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
