,URL,Rank,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Genres,Markets
408,/title/tt1663202/?ref_=bo_cso_table_2,202,The Revenant,532950503,183637894.0,34.5,349312609,65.5,2015-01-01,Twentieth Century Fox,474560.0,135000000.0,1900-12-01,R,2 hr 36 min,"Action
    
        Adventure
    
        Drama
    
        History
    
        Western",73.0
409,/title/tt4779682/?ref_=bo_cso_table_3,203,The Meg,530438278,145443742.0,27.4,384994536,72.6,2018-01-01,Warner Bros.,45402195.0,130000000.0,1900-08-01,PG13,1 hr 53 min,"Action
    
        Horror
    
        SciFi
    
        Thriller",41.0
410,/title/tt5848272/?ref_=bo_cso_table_4,204,Ralph Breaks the Internet,529323962,201091711.0,38.0,328232251,62.0,2018-01-01,Walt Disney Studios Motion Pictures,56237634.0,175000000.0,1900-11-01,PG,1 hr 52 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        SciFi",41.0
411,/title/tt5220122/?ref_=bo_cso_table_5,205,Hotel Transylvania 3: Summer Vacation,528583774,167510016.0,31.7,361073758,68.3,2018-01-01,Sony Pictures Entertainment (SPE),44076225.0,80000000.0,1900-06-01,PG,1 hr 37 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Horror",76.0
412,/title/tt3874544/?ref_=bo_cso_table_6,206,The Boss Baby,527965936,175003033.0,33.2,352962903,66.8,2017-01-01,Twentieth Century Fox,50198902.0,,1900-03-01,PG,1 hr 37 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",76.0
413,/title/tt5013056/?ref_=bo_cso_table_7,207,Dunkirk,527016307,189740665.0,36.0,337275642,64.0,2017-01-01,Warner Bros.,50513488.0,100000000.0,1900-07-01,PG13,1 hr 46 min,"Action
    
        Drama
    
        History
    
        Thriller
    
        War",43.0
414,/title/tt0831387/?ref_=bo_cso_table_8,208,Godzilla,524976069,200676069.0,38.2,324300000,61.8,2014-01-01,Warner Bros.,93188384.0,160000000.0,1900-05-01,PG13,2 hr 3 min,"Action
    
        Adventure
    
        SciFi
    
        Thriller",56.0
415,/title/tt0831387/?ref_=bo_cso_table_8,208,Godzilla,524976069,200676069.0,38.2,324300000,61.8,2014-01-01,Sony Pictures Entertainment (SPE),44047541.0,130000000.0,1900-05-01,PG13,2 hr 19 min,"Action
    
        SciFi
    
        Thriller",45.0
416,/title/tt2386490/?ref_=bo_cso_table_9,209,How to Train Your Dragon: The Hidden World,524389083,160799505.0,30.7,363589578,69.3,2019-01-01,Universal Pictures,55022245.0,129000000.0,1900-01-01,PG,1 hr 44 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",67.0
417,/title/tt0988045/?ref_=bo_cso_table_10,210,Sherlock Holmes,524028679,209028679.0,39.9,315000000,60.1,2009-01-01,Warner Bros.,62304277.0,90000000.0,1900-01-01,PG13,2 hr 8 min,"Action
    
        Adventure
    
        Mystery",67.0
